geometry;name;price_level;rating;types;user_ratings_total;vicinity;longitude;latitude
{'location': {'lat': 52.3748774, 'lng': 4.898781}, 'viewport': {'northeast': {'lat': 52.3762165802915, 'lng': 4.900348230291502}, 'southwest': {'lat': 52.3735186197085, 'lng': 4.897650269708497}}};BurgerFabriek Express L.Niezel;;2,8;Burger;11;Lange Niezel 20h, Amsterdam;4.8906021;52.3740512
{'location': {'lat': 52.3750817, 'lng': 4.898346300000001}, 'viewport': {'northeast': {'lat': 52.3763012802915, 'lng': 4.900116230291502}, 'southwest': {'lat': 52.3736033197085, 'lng': 4.897418269708497}}};Burger & Pancake Bar;;3,4;Burger;10;Lange Niezel 7, Amsterdam;4.8906594;52.3749335
{'location': {'lat': 52.37485969999999, 'lng': 4.8988399}, 'viewport': {'northeast': {'lat': 52.3762064302915, 'lng': 4.900377680291502}, 'southwest': {'lat': 52.3735084697085, 'lng': 4.897679719708497}}};Pizzeria Bella Roma Amsterdam;;3,9;Italian;330;Lange Niezel 22G, Amsterdam;4.890692099999999;52.3740773
{'location': {'lat': 52.37491349999999, 'lng': 4.898707199999999}, 'viewport': {'northeast': {'lat': 52.37623118029151, 'lng': 4.900310180291502}, 'southwest': {'lat': 52.37353321970851, 'lng': 4.897612219708497}}};Madam Pancake;;4,4;Sweet;624;Lange Niezel 18, Amsterdam;4.8907131;52.3741918
{'location': {'lat': 52.3752237, 'lng': 4.8977963}, 'viewport': {'northeast': {'lat': 52.3766533802915, 'lng': 4.898957230291502}, 'southwest': {'lat': 52.3739554197085, 'lng': 4.896259269708497}}};I love churros;;5;Sweet;2;Warmoesstraat 62II, Amsterdam;4.890746699999998;52.37500579999999
{'location': {'lat': 52.3753815, 'lng': 4.8974845}, 'viewport': {'northeast': {'lat': 52.37673048029151, 'lng': 4.898833480291502}, 'southwest': {'lat': 52.37403251970851, 'lng': 4.896135519708498}}};Mr.Tom Snackbar;;3,2;Fastfood;59;Warmoesstraat 57, Amsterdam;4.890903900000001;52.3730129
{'location': {'lat': 52.3748966, 'lng': 4.890999}, 'viewport': {'northeast': {'lat': 52.3762651802915, 'lng': 4.892306380291503}, 'southwest': {'lat': 52.3735672197085, 'lng': 4.889608419708498}}};Lancheria Italiana Amsterdam;;;Indian;;Spuistraat 1011, Amsterdam;4.890999;52.3748966,
{'location': {'lat': 52.3752401, 'lng': 4.8924784}, 'viewport': {'northeast': {'lat': 52.3767979802915, 'lng': 4.894060930291502}, 'southwest': {'lat': 52.3741000197085, 'lng': 4.891362969708497}}};ITALIAANS RESTURANT;;2,9;Italian;34;Nieuwezijds Voorburgwal 85_, Amsterdam;4.891169299999999;52.3753041
{'location': {'lat': 52.3750238, 'lng': 4.892212799999998}, 'viewport': {'northeast': {'lat': 52.3763727802915, 'lng': 4.893561780291501}, 'southwest': {'lat': 52.3736748197085, 'lng': 4.890863819708496}}};Steak Burger;;2;Grill;1;Netherlands;4.891523400000001;52.37508589999999
{'location': {'lat': 52.37539039999999, 'lng': 4.893838499999999}, 'viewport': {'northeast': {'lat': 52.3767105302915, 'lng': 4.894554100000001}, 'southwest': {'lat': 52.3740125697085, 'lng': 4.891708499999999}}};La Zoccola del Pacioccone;2;4,5;Italian;2190;Nieuwe Nieuwstraat 22HS, Amsterdam;4.891591;52.37504999999999
